project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
twbs,2966,0,0.03,0,0.32,1,1,4,4,0
twbs,10641,1,0.69,0,2.48,0,0,3,2,0
twbs,4349,0,0,0,0.1,0,0,0,0,0
twbs,10126,0,0,0,43.9,0,0,0,0,0
twbs,7169,0,0,0,114.21,5,5,0,0,0
twbs,18451,1,0.96,0,0.26,0,0,19,0,0
twbs,13858,0,0,0,0.06,0,0,0,0,0
twbs,13118,0,0,0,0.06,5,5,0,0,0
twbs,17600,0,0,0,0,0,0,0,0,1
twbs,3552,0,0,0,7.97,0,0,0,0,0
twbs,19568,0,0,0,253.24,6,6,50526,504,0
twbs,20710,0,0.13,0,0.18,0,0,379298,39978,0
twbs,17065,1,0.56,0,1.07,0,0,26,26,0
twbs,11739,0,0.87,0,0.73,0,0,0,0,1
twbs,3225,0,0.2,0,0.59,1,0,1,1,1
twbs,11231,0,0,0,0.85,2,2,0,0,0
twbs,17222,0,0.5,0,107.97,20,0,0,0,1
twbs,21368,1,0.5,0,0.29,0,0,1,1,0
twbs,346,1,0.33,0,3.67,0,0,0,0,0
twbs,13107,0,0,0,0,5,5,25,7,0
twbs,15888,1,0.72,0,0.9,0,0,0,0,0
twbs,4499,0,0.13,0,0.46,4,4,0,0,0
twbs,12307,1,0.96,0,0.63,0,0,6,6,0
twbs,20103,0,0.33,0,0.66,0,0,0,0,1
twbs,22995,1,0.89,0,0.52,0,0,1,1,0
twbs,6369,0,0,0,0.05,1,1,0,0,0
twbs,21036,1,0.75,0,53.29,0,0,127,127,0
twbs,2256,0,0,0,25.65,1,1,1,0,0
twbs,643,0,0,0,4.59,1,1,0,0,0
twbs,19294,1,0.96,0,0.05,0,0,1,1,0
twbs,18391,1,0.96,0,4.03,0,0,4,0,0
twbs,18069,1,0.71,0,0.07,0,0,0,0,0
twbs,21615,1,0.77,0,69.2,0,0,7,4,0
twbs,4586,0,0,0,0.02,0,0,1,1,0
twbs,8331,0,0.03,0,0,0,0,1,1,0
twbs,11188,1,0.89,0,0.03,0,0,0,0,0
twbs,12553,1,0.73,0,0.65,0,0,5,0,0
twbs,21811,0,0,0,0.01,1,1,0,0,0
twbs,7080,0,0,0,0.07,1,1,1,0,0
twbs,1806,0,0.25,0,0,0,0,0,0,0
twbs,2633,0,0.07,0,7.2,2,2,0,0,0
twbs,13129,0,0,0,0.03,0,0,0,0,0
twbs,3402,0,0,0,24.9,1,1,10,0,0
twbs,13758,0,0,0,214.31,0,0,9,5,1
twbs,20097,0,0,0,141.53,1,1,1,1,0
twbs,21988,1,0.48,0,40.04,0,0,4,4,0
twbs,7139,0,0.25,0,115.63,0,0,38,38,0
twbs,20539,0,0,0,0,1,1,0,0,0
twbs,21171,1,0.5,0,7.33,0,0,2,2,0
twbs,8917,0,0.25,0,0.53,5,5,14,0,0
twbs,11142,0,0,0,44.52,2,2,0,0,0
twbs,3861,0,0,0,4.54,3,3,6,1,0
twbs,16246,1,0.96,0,0.01,0,0,2,2,0
twbs,3935,0,0.33,0,5.02,3,3,1,1,0
twbs,10843,0,0,0,0.08,0,0,0,0,0
twbs,21228,1,0.9,0,24.92,0,0,0,0,0
twbs,4614,0,0,0,4.88,0,0,6,0,0
twbs,11434,1,0.73,0,20.47,0,0,1,1,0
