pr_project,pr_id,First Status,Reputation,Changed file,Evaluation time,Nb Comments,Nb Commits,LC added,LC deleted,classes
rails,17594,Rejected,0,2,5.07,0,2,1,2,Non-Reopened
rails,13822,Rejected,0.78,1,0.03,1,1,23,8,Non-Reopened
rails,10812,Rejected,0.81,1,17.67,0,1,32,1,Non-Reopened
rails,21244,Rejected,0.92,2,2.44,0,0,7,1,Reopened
rails,10067,Rejected,0.33,1,21.61,0,1,13,1,Non-Reopened
rails,8777,Accepted,0.77,5,0.14,0,1,1,5,Non-Reopened
rails,11661,Rejected,0.86,1,0,0,0,0,2,Reopened
rails,3901,Accepted,0.67,2,0.03,0,1,0,4,Non-Reopened
rails,14017,Rejected,0,2,0.03,2,0,18,0,Reopened
rails,1177,Accepted,0.78,0,0,0,0,1,0,Non-Reopened
rails,9871,Accepted,0.86,1,0.02,0,1,1,0,Non-Reopened
rails,28448,Accepted,0.87,7,0.82,0,2,229,35,Non-Reopened
rails,27389,Accepted,0.86,11,52.09,0,3,194,239,Non-Reopened
rails,26678,Accepted,0.75,1,0.18,0,1,1,0,Non-Reopened
rails,28378,Accepted,0.93,1,0.68,0,1,4,8,Non-Reopened
rails,20543,Accepted,0.5,1,0.06,0,1,31,0,Non-Reopened
rails,14315,Accepted,0.88,4,2.08,0,1,51,13,Non-Reopened
rails,22500,Accepted,0.93,1,0.14,0,1,0,1,Non-Reopened
rails,22099,Accepted,0.74,1,0.05,0,1,63,0,Non-Reopened
rails,4112,Rejected,0.74,0,2.32,1,0,0,0,Reopened
rails,24297,Accepted,0.44,0,0.17,0,0,0,0,Non-Reopened
rails,24667,Accepted,0.93,1,0,0,1,2,0,Non-Reopened
rails,26151,Accepted,0.86,3,2.51,0,1,4,6,Non-Reopened
rails,12232,Accepted,0.72,4,6.35,0,1,1,16,Non-Reopened
rails,230,Rejected,0,13,40.87,3,0,442,1,Reopened
rails,7444,Accepted,0.5,3,32.94,0,3,0,7,Non-Reopened
rails,2262,Rejected,0.66,0,0,1,0,0,0,Reopened
rails,15716,Rejected,0.62,2,0.21,3,0,21,2,Reopened
rails,4664,Rejected,0.5,1,0.17,2,1,2,1,Non-Reopened
rails,27018,Accepted,0.5,1,0.28,0,1,12,0,Non-Reopened
rails,18960,Accepted,0.5,1,0.01,0,1,15,4,Non-Reopened
rails,80,Rejected,0,1,1.37,0,1,3,5,Non-Reopened
rails,12089,Rejected,0,2,0.85,1,1,1,2,Non-Reopened
rails,8248,Accepted,0.64,2,0.12,0,2,0,5,Non-Reopened
rails,22032,Rejected,0.66,6,0.02,1,1,1,15,Non-Reopened
rails,25468,Rejected,0,4,57.63,0,0,11,11,Reopened
rails,15688,Rejected,0.65,3,494.28,19,1,3,21,Non-Reopened
rails,28006,Accepted,0.33,3,10.18,0,1,21,2,Non-Reopened
rails,168,Rejected,0.71,0,9.36,0,0,0,0,Non-Reopened
rails,20171,Rejected,0.85,6,11.95,0,0,64,32,Reopened
rails,9072,Accepted,0.77,4,31.23,0,1,3,46,Non-Reopened
