fk_rails,pr_id,First_Status,FirstStatus,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes,Label
1,15597,1,Accepted,0.87,3,0.13,0,1,70,5,0,Non-Reopened
1,11812,1,Accepted,0.67,0,9.14,0,0,4,0,0,Non-Reopened
1,12659,0,Rejected,0.44,5,464.54,0,1,19,1,0,Non-Reopened
1,6229,0,Rejected,0.22,6,0.01,0,1,1,13,0,Non-Reopened
1,6326,0,Rejected,0.84,0,0.04,1,0,11,0,0,Non-Reopened
1,27195,1,Accepted,0.93,3,0.14,0,1,3,3,0,Non-Reopened
1,15956,1,Accepted,0.88,1,130.2,0,1,23,100,0,Non-Reopened
1,15110,1,Accepted,0.6,1,0,0,1,0,1,0,Non-Reopened
1,15184,1,Accepted,0.84,18,0.14,0,1,34,47,0,Non-Reopened
1,7221,0,Rejected,0,10,241.39,0,1,22,31,0,Non-Reopened
1,8443,0,Rejected,0.33,6,0,0,1,41,7,0,Non-Reopened
1,21481,1,Accepted,0.5,2,0.6,0,1,1,4,0,Non-Reopened
1,6363,1,Accepted,0.8,1,0.03,0,1,1,1,0,Non-Reopened
1,23419,1,Accepted,0.86,2,20.91,0,2,0,2,0,Non-Reopened
1,3287,1,Accepted,0.5,2,1.45,0,2,0,0,0,Non-Reopened
1,15329,0,Rejected,0.33,8,185.11,0,1,49,5,0,Non-Reopened
1,17578,1,Accepted,0.71,1,0.21,0,1,29,1,0,Non-Reopened
1,22093,1,Accepted,0.93,1,0.01,0,1,1,1,0,Non-Reopened
1,2275,0,Rejected,0.66,0,76.82,4,0,0,0,0,Non-Reopened
1,16390,0,Rejected,0,3,0.07,1,1,1,1,0,Non-Reopened
1,27182,1,Accepted,0.59,1,0.05,0,1,9,1,0,Non-Reopened
1,11210,0,Rejected,0,1,262.05,6,1,0,0,0,Non-Reopened
1,23865,0,Rejected,0,0,0,2,0,0,0,0,Non-Reopened
1,23684,1,Accepted,0.5,1,0.1,0,1,3,1,0,Non-Reopened
1,28076,0,Rejected,0,2,0.04,0,1,7,7,0,Non-Reopened
1,15895,1,Accepted,0.84,3,0.07,0,1,6,3,0,Non-Reopened
1,4850,1,Accepted,0.72,6,0.2,0,1,5,7,0,Non-Reopened
1,26143,1,Accepted,0.33,0,0.18,0,0,0,0,0,Non-Reopened
1,18364,1,Accepted,0.86,1,0,0,1,1,5,0,Non-Reopened
1,5443,0,Rejected,0.63,2,176.58,2,1,27,1,0,Non-Reopened
1,21293,0,Rejected,0.61,2,1.5,0,1,1,4,0,Non-Reopened
1,4713,1,Accepted,0.88,3,0.06,0,1,15,1,0,Non-Reopened
1,17039,1,Accepted,0.5,3,35.02,0,1,9,2,0,Non-Reopened
1,4639,1,Accepted,0.36,2,0.19,0,1,41,1,0,Non-Reopened
1,6128,1,Accepted,0.84,0,2.15,0,0,10,0,0,Non-Reopened
1,29410,0,Rejected,0,1,0.31,2,1,10,10,0,Non-Reopened
1,8430,0,Rejected,0.25,15,111.34,0,2,130,11,0,Non-Reopened
1,21097,1,Accepted,0.93,1,0.01,0,1,2,1,0,Non-Reopened
1,1341,0,Rejected,0.1,1,0.07,2,1,1,2,0,Non-Reopened
1,15099,1,Accepted,0.87,3,0.15,0,4,16,16,0,Non-Reopened
1,3256,0,Rejected,0,2,0.48,3,3,4,2,0,Non-Reopened
1,2984,1,Accepted,0.5,0,0.01,1,0,9983,0,0,Non-Reopened
1,2099,1,Accepted,0.77,1,0.11,0,1,4,2,0,Non-Reopened
1,13248,1,Accepted,0.77,1,0.21,0,1,27,3,0,Non-Reopened
1,14450,1,Accepted,0.5,0,0.75,0,0,21,0,0,Non-Reopened
1,9692,0,Rejected,0.86,3,0.17,3,1,1,2,0,Non-Reopened
1,106,0,Rejected,0.28,4,0.01,0,2,17,2,0,Non-Reopened
1,21570,0,Rejected,0.29,0,0.87,0,0,9,0,0,Non-Reopened
1,4890,1,Accepted,0.81,2,0.01,0,1,0,3,0,Non-Reopened
1,26809,1,Accepted,0.8,1,0.01,0,1,1,1,0,Non-Reopened
1,23212,1,Accepted,0.78,9,0.82,0,1,9,95,0,Non-Reopened
1,12065,1,Accepted,0.63,1,5.69,0,1,31,1,0,Non-Reopened
1,14806,0,Rejected,0,3,0.04,1,1,0,2,0,Non-Reopened
1,6336,1,Accepted,0.71,2,0.72,0,1,0,8,0,Non-Reopened
1,1413,0,Rejected,0,0,1.32,5,0,0,0,0,Non-Reopened
1,2527,1,Accepted,0.37,2,0,0,1,1,3,0,Non-Reopened
1,3194,1,Accepted,0.71,0,0.04,0,0,21,0,0,Non-Reopened
1,13820,0,Rejected,0,1,3.08,0,1,8,1,0,Non-Reopened
1,2041,1,Accepted,0.73,2,0.16,0,1,1,2,0,Non-Reopened
1,22522,0,Rejected,0,0,0.01,2,0,0,0,0,Non-Reopened
1,12655,1,Accepted,0.76,1,0.02,0,1,21,2,0,Non-Reopened
1,26150,1,Accepted,0.86,3,1.14,0,1,20,21,0,Non-Reopened
1,15936,0,Rejected,0,4,18.06,0,11,38,6,0,Non-Reopened
1,22656,1,Accepted,0.79,3,0.17,0,1,30,5,0,Non-Reopened
1,13987,0,Rejected,0.64,1,0.08,1,1,6,4,0,Non-Reopened
1,2499,1,Accepted,0.91,0,26.59,0,0,0,0,0,Non-Reopened
1,25584,1,Accepted,0.78,1,0,0,1,3,3,0,Non-Reopened
1,11614,0,Rejected,0.3,4,0.02,0,1,5,5,0,Non-Reopened
1,11729,0,Rejected,0.5,5,879.96,0,5,1,9,0,Non-Reopened
1,10686,0,Rejected,0.78,1,19.69,7,1,1,0,0,Non-Reopened
1,7281,0,Rejected,0,0,4.3,4,0,1,0,0,Non-Reopened
1,6742,1,Accepted,0.86,5,3.42,0,1,100,7,0,Non-Reopened
1,24562,0,Rejected,0.87,0,0.01,2,0,0,0,0,Non-Reopened
1,25018,0,Rejected,0.76,13,1.77,1,1,274,123,0,Non-Reopened
1,20766,1,Accepted,0.75,2,0.05,0,1,0,8,0,Non-Reopened
1,8201,1,Accepted,0.8,1,0.14,0,1,17,0,0,Non-Reopened
1,23837,1,Accepted,0.5,0,0.04,0,0,14,0,0,Non-Reopened
1,9530,0,Rejected,0.33,632,0,0,1455,0,19519,0,Non-Reopened
1,313,0,Rejected,0,0,0.79,3,0,444,0,0,Non-Reopened
1,28891,1,Accepted,0.75,1,0.26,0,1,0,2,0,Non-Reopened
1,9138,1,Accepted,0.8,2,0,0,1,0,6,0,Non-Reopened
1,18067,1,Accepted,0.86,6,16.2,0,2,3,1,0,Non-Reopened
1,19315,0,Rejected,0.61,6,0.65,3,3,1,10,0,Non-Reopened
1,3314,1,Accepted,0.5,0,0.97,0,0,29,0,0,Non-Reopened
1,9832,0,Rejected,0.22,3,407.85,0,1,3,12,0,Non-Reopened
1,6479,0,Rejected,0.29,0,0.01,0,0,2,0,0,Non-Reopened
1,20521,0,Rejected,0.5,4,0.26,1,1,540,4,0,Non-Reopened
1,8634,1,Accepted,0.87,1,0.04,0,1,22,1,0,Non-Reopened
1,16851,1,Accepted,0.86,1,13.32,0,1,24,1,0,Non-Reopened
1,26926,1,Accepted,0.79,2,0.27,0,1,20,1,0,Non-Reopened
1,9437,1,Accepted,0.87,3,0.32,0,1,55,12,0,Non-Reopened
1,26188,1,Accepted,0.67,1,0,0,1,1,1,0,Non-Reopened
1,11871,0,Rejected,0.3,0,541.91,6,0,22,0,0,Non-Reopened
1,24720,0,Rejected,0.86,3,5.08,1,1,11,6,0,Non-Reopened
1,12617,1,Accepted,0.25,0,0,0,0,9,0,0,Non-Reopened
1,3461,0,Rejected,0.86,3,9.96,4,2,1,0,0,Non-Reopened
1,11772,0,Rejected,0.5,1,0.55,3,1,0,1,0,Non-Reopened
1,24890,1,Accepted,0.78,4,60.07,0,1,116,14,0,Non-Reopened
1,10106,1,Accepted,0.71,3,0.02,0,1,1,8,0,Non-Reopened
1,11692,0,Rejected,0.68,1,4.58,0,1,20,1,0,Non-Reopened
1,10438,0,Rejected,0.13,2,0.28,0,1,16,0,0,Non-Reopened
1,208,0,Rejected,0,1,306.01,8,1,2,5,0,Non-Reopened
1,2341,0,Rejected,0.41,0,191.08,0,0,5,0,0,Non-Reopened
1,12509,1,Accepted,0.25,2,1175.53,0,1,9,1,0,Non-Reopened
1,24787,1,Accepted,0.6,0,0,2,0,0,0,0,Non-Reopened
1,14937,0,Rejected,0.82,1,0,0,1,1,1,0,Non-Reopened
1,23789,1,Accepted,0.67,27,3.39,0,3,22,55,0,Non-Reopened
1,28352,1,Accepted,0.4,3,4.37,0,1,17,1,0,Non-Reopened
1,18680,1,Accepted,0.93,0,0.08,0,0,2,0,0,Non-Reopened
